sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
1.712236504E+2,1.221854627E+2,1.294263760E+2,9.313003851E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.505470276E+2,1.141548157E+2
8.529663086E+1,6.629943848E+1
4.894256592E+1,3.625869751E+1
5.607604980E+1,4.304885864E+1
8.937835693E+1,6.631851196E+1
1.522827148E+2,1.177597046E+2
1.749420166E+2,1.303100586E+2
1.485252380E+2,1.157951355E+2
1.526451111E+2,1.132583618E+2
1.448631287E+2,1.112937927E+2
1.357269287E+2,1.005935669E+2
1.678276062E+2,1.288604736E+2
1.426315308E+2,1.085090637E+2
1.946830750E+2,1.457405090E+2
1.541328430E+2,1.151657104E+2
1.887512207E+2,1.446342468E+2
2.147293091E+2,1.596450806E+2
1.832580566E+2,1.378059387E+2
1.913070679E+2,1.458358765E+2
1.827430725E+2,1.367759705E+2
1.476287842E+2,1.104927063E+2
1.447105408E+2,1.114463806E+2
1.409530640E+2,1.041793823E+2
1.019668579E+2,7.612228394E+1
8.821487427E+1,6.315231323E+1
9.099960327E+1,6.746292114E+1
1.022529602E+2,7.814407349E+1
1.136398315E+2,8.220672607E+1
1.299858093E+2,9.431838989E+1
7.419586182E+1,5.521774292E+1
8.516311646E+1,6.267547607E+1
9.061813354E+1,6.444931030E+1
6.555557251E+1,5.033493042E+1
5.487442017E+1,4.114151001E+1
6.111145020E+1,4.560470581E+1
5.805969238E+1,4.428863525E+1
6.961822510E+1,4.970550537E+1
6.528854370E+1,4.884719849E+1
6.010055542E+1,4.453659058E+1
4.114151001E+1,3.023147583E+1
5.828857422E+1,4.259109497E+1
6.023406982E+1,4.449844360E+1
1.665496826E+2,1.275444031E+2
1.555824280E+2,1.136398315E+2
2.727699280E+2,2.037239075E+2
3.787612915E+2,2.853775024E+2
5.347061157E+2,4.057693481E+2
5.188369751E+2,3.910255432E+2
4.840850830E+2,3.706359863E+2
4.113578796E+2,3.075218201E+2
4.693603516E+2,3.590583801E+2
3.222846985E+2,2.402877808E+2
1.682281494E+2,1.280021667E+2
6.530761719E+1,4.945755005E+1
6.233215332E+1,4.692077637E+1
1.466178894E+2,1.100349426E+2
1.667594910E+2,1.255989075E+2
1.860427856E+2,1.417160034E+2
1.894569397E+2,1.455497742E+2
1.909637451E+2,1.433181763E+2
1.795005798E+2,1.352310181E+2
2.135086060E+2,1.640319824E+2
3.022193909E+2,2.278137207E+2
4.145812988E+2,3.105735779E+2
5.812454224E+2,4.433822632E+2
6.669425964E+2,5.039024353E+2
6.411743164E+2,4.861640930E+2
5.510711670E+2,4.202461243E+2
6.126976013E+2,4.654312134E+2
4.994010925E+2,3.814315796E+2
4.478836060E+2,3.339958191E+2
3.152084351E+2,2.393531799E+2
2.068328857E+2,1.570320129E+2
1.710319519E+2,1.281547546E+2
1.721572876E+2,1.305198669E+2
2.000236511E+2,1.480865479E+2
2.138519287E+2,1.586914062E+2
2.108764648E+2,1.589012146E+2
1.823425293E+2,1.409912109E+2
2.038955688E+2,1.548194885E+2
1.529884338E+2,1.170730591E+2
1.551628113E+2,1.104736328E+2
8.815765381E+1,6.532669067E+1
5.565643311E+1,4.297256470E+1
5.249023437E+1,4.066467285E+1
4.241943359E+1,3.253936768E+1
5.800247192E+1,4.169464111E+1
4.894256592E+1,3.746032715E+1
9.494781494E+1,7.236480713E+1
1.574134827E+2,1.155281067E+2
2.334785461E+2,1.799583435E+2
2.708816528E+2,2.023696899E+2
2.504158020E+2,1.901054382E+2
2.869033813E+2,2.185630798E+2
2.570343018E+2,1.941680908E+2
2.265167236E+2,1.706123352E+2
2.329826355E+2,1.797866821E+2
1.599884033E+2,1.199150085E+2
1.732063293E+2,1.303672791E+2
1.479721069E+2,1.119804382E+2
1.705360413E+2,1.288986206E+2
2.366065979E+2,1.797294617E+2
3.063392639E+2,2.287483215E+2
4.083442688E+2,3.094863892E+2
5.228424072E+2,3.994369507E+2
4.481506348E+2,3.494834900E+2
3.278350830E+2,2.508544922E+2
2.449035645E+2,1.830291748E+2
1.677894592E+2,1.268959045E+2
1.341438293E+2,9.534835815E+1
1.187324524E+2,8.899688721E+1
1.301765442E+2,9.725570679E+1
1.724815369E+2,1.300430298E+2
1.261711121E+2,9.103775024E+1
1.462745667E+2,1.106834412E+2
1.804351807E+2,1.355171204E+2
1.161575317E+2,8.699417114E+1
6.902694702E+1,5.107879639E+1
5.659103394E+1,3.864288330E+1
4.179000854E+1,3.271102905E+1
6.324768066E+1,4.665374756E+1
6.729125977E+1,5.073547363E+1
1.083946228E+2,8.205413818E+1
1.662635803E+2,1.230812073E+2
1.709365845E+2,1.279640198E+2
1.905059814E+2,1.431274414E+2
1.617050171E+2,1.219749451E+2
1.398277283E+2,1.005935669E+2
1.192283630E+2,8.872985840E+1
7.108688354E+1,5.325317383E+1
1.139640808E+2,8.356094360E+1
9.750366211E+1,7.160186768E+1
1.043128967E+2,8.106231689E+1
1.281929016E+2,9.376525879E+1
1.645088196E+2,1.247787476E+2
1.679039001E+2,1.300239563E+2
1.851654053E+2,1.372909546E+2
1.915168762E+2,1.488304138E+2
1.379966736E+2,1.071739197E+2
1.449012756E+2,1.109504700E+2
1.134300232E+2,8.426666260E+1
9.054183960E+1,6.780624390E+1
1.022338867E+2,7.793426514E+1
6.893157959E+1,5.176544189E+1
8.905410767E+1,6.645202637E+1
6.658554077E+1,5.119323730E+1
6.669998169E+1,4.858016968E+1
8.226394653E+1,5.998611450E+1
8.876800537E+1,6.587982178E+1
8.447647095E+1,6.099700928E+1
