sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.697762719E+1,2.219283033E+0,6.149019514E+1,2.079294463E+0,

Count Trace ChA [kHz],Count Trace ChB [kHz]
6.780624390E+1,6.118774414E+1
6.315231323E+1,5.836486816E+1
7.055282593E+1,6.229400635E+1
6.727218628E+1,6.250381470E+1
6.408691406E+1,6.010055542E+1
6.669998169E+1,6.162643433E+1
6.528854370E+1,6.288528442E+1
6.731033325E+1,6.204605103E+1
7.295608521E+1,6.776809692E+1
6.772994995E+1,6.128311157E+1
6.864547729E+1,6.223678589E+1
6.551742554E+1,6.029129028E+1
6.536483765E+1,5.922317505E+1
6.544113159E+1,5.950927734E+1
6.977081299E+1,6.542205811E+1
6.374359131E+1,5.908966064E+1
6.576538086E+1,6.052017212E+1
6.774902344E+1,6.231307983E+1
6.643295288E+1,6.000518799E+1
7.005691528E+1,6.046295166E+1
6.305694580E+1,5.975723267E+1
6.475448608E+1,5.952835083E+1
6.616592407E+1,6.238937378E+1
6.471633911E+1,5.777359009E+1
6.738662720E+1,6.090164185E+1
6.977081299E+1,6.349563599E+1
7.064819336E+1,6.263732910E+1
6.544113159E+1,6.340026855E+1
6.399154663E+1,5.819320679E+1
6.784439087E+1,6.137847900E+1
6.727218628E+1,6.429672241E+1
6.505966187E+1,6.113052368E+1
6.465911865E+1,6.252288818E+1
6.885528564E+1,6.326675415E+1
6.490707397E+1,6.010055542E+1
7.011413574E+1,6.198883057E+1
6.271362305E+1,5.708694458E+1
6.893157959E+1,6.208419800E+1
6.975173950E+1,6.263732910E+1
6.580352783E+1,6.048202515E+1
6.870269775E+1,6.395339966E+1
6.626129150E+1,6.221771240E+1
6.547927856E+1,6.261825562E+1
6.971359253E+1,6.311416626E+1
6.755828857E+1,6.338119507E+1
6.929397583E+1,6.254196167E+1
6.587982178E+1,6.263732910E+1
6.536483765E+1,5.989074707E+1
6.225585937E+1,5.947113037E+1
6.681442261E+1,5.947113037E+1
6.753921509E+1,6.237030029E+1
6.320953369E+1,5.889892578E+1
