ome	zstar	zpr	zppr	zstarFi	zprFi	zpprFi	zprS	zpprS	zC
31237.797735259686	142.78767132282866	83.28598594383229	115.98173833479095	143.55052019150224	94.53458080385728	108.02761165317816	94.0314864585171	107.16445533700683	(94.0314864585171+107.16445533700683j)
28399.006034788796	135.0849361937007	80.99504756578388	108.1098619750881	135.68641025735565	91.10054380069853	100.55591900899934	90.81309852364545	99.62388536619169	(90.81309852364545+99.62388536619169j)
26033.19232020828	128.5380356419236	78.98198333192714	101.4094320841982	129.01314405328333	88.25341257685815	94.10486973080666	87.96933340099294	93.29604156071935	(87.96933340099294+93.29604156071935j)
24031.24061279665	122.89337102742712	77.17744105139336	95.6369344722193	123.26652200234774	85.85729786071765	88.44862831390483	85.41219557545911	87.82301874506088	(85.41219557545911+87.82301874506088j)
22315.202231520238	117.96715963173811	75.53317976332538	90.6145104628456	118.25495461505378	83.8137029510757	83.42360270713124	83.09300297324936	82.97582965522096	(83.09300297324936+82.97582965522096j)
20827.90939859413	113.62297153191103	74.01665401191842	86.20739288843752	113.83609923852676	82.04946345863833	78.90844717768361	81.08605504685828	78.74709431436489	(81.08605504685828+78.74709431436489j)
19526.482792287054	109.75722040895522	72.60285084787463	82.3132643057074	109.90203319435481	80.50910835381447	74.81136526174902	79.24077945284621	74.9592706531733	(79.24077945284621+74.9592706531733j)
17357.344326318085	103.1587329777182	70.02884127099843	75.74751203709249	103.20518694517101	76.79526874984577	68.947786839221	76.06747614032636	68.5532824623289	(76.06747614032636+68.5532824623289j)
15621.948838117563	97.71341212360157	67.73460773482854	70.42679762594429	97.6884038367482	73.7948227551	64.01053334190377	73.3380373633946	63.320200893011034	(73.3380373633946+63.320200893011034j)
14202.023788389854	93.12443981575545	65.66999357809053	66.02736731425696	93.0410779499609	71.31317854627768	59.75845339127696	70.97407112570029	59.001117439537225	(70.97407112570029+59.001117439537225j)
13018.714401952815	89.19110675519596	63.80631182304671	62.320206159454344	89.05463087199175	69.2200287581205	56.02958949047973	68.89266372500374	55.371793305501015	(68.89266372500374+55.371793305501015j)
12017.425266636632	85.77253445829007	62.12156869396393	59.142525904797786	85.58389778579745	67.42501893726688	52.711197875963954	67.01284275169668	52.20831397492039	(67.01284275169668+52.20831397492039j)
