ome	gStar	gStarABS	gpr	gppr
0.43348832329030323	(11.113134558259222+9.26783916091654j)	14.47047346919214	11.113134558259222	9.26783916091654
0.3973642965288746	(10.60063593283022+9.111724171634261j)	13.978447680638768	10.60063593283022	9.111724171634261
0.3667978123206462	(10.124048386308758+8.939179835442355j)	13.505750325646487	10.124048386308758	8.939179835442355
0.3405979686950023	(9.669584457761577+8.750354027646358j)	13.041072010955661	9.669584457761577	8.750354027646358
0.3178914375388965	(9.269082447814545+8.58448929137144j)	12.633659241013849	9.269082447814545	8.58448929137144
0.2980232227667303	(8.893609106320309+8.412762967285817j)	12.242175610558736	8.893609106320309	8.412762967285817
0.2649095314578564	(8.21678415310643+8.057676839020287j)	11.508331671481532	8.21678415310643	8.057676839020287
0.23841857839101993	(7.614602618274632+7.6765098971426164j)	10.812537964565184	7.614602618274632	7.6765098971426164
0.21674416223237697	(7.115204121058817+7.352184130697788j)	10.231360670801159	7.115204121058817	7.352184130697788
0.19868214875786974	(6.695911024718301+7.076256395313208j)	9.742105985009358	6.695911024718301	7.076256395313208
0.18339890658076255	(6.33930122453554+6.839614119844966j)	9.325613187548603	6.33930122453554	6.839614119844966
0.17029898471002294	(6.032417899167475+6.634737739819444j)	8.967151754396742	6.032417899167475	6.634737739819444
0.158945719085245	(5.765565728041926+6.455725812616799j)	8.6555267853585	5.765565728041926	6.455725812616799
0.14901161166092092	(5.531391782432919+6.297990316139482j)	8.382182118813281	5.531391782432919	6.297990316139482
0.1324547659482315	(5.139665409818892+6.032765275596452j)	7.925302353559209	5.139665409818892	6.032765275596452
0.11920928937314564	(4.824958265185593+5.8184103359299035j)	7.558711603047089	4.824958265185593	5.8184103359299035
0.10837208126299483	(4.566572986281771+5.641537533624009j)	7.2581357511641285	4.566572986281771	5.641537533624009
0.09934107450229297	(4.350625735982227+5.493091775177666j)	7.007282036932395	4.350625735982227	5.493091775177666
0.09169945339549114	(4.167454015121199+5.3667267807497225j)	6.794808997121706	4.167454015121199	5.3667267807497225
0.08514949244564192	(4.010124640248276+5.257860486870668j)	6.612578659624566	4.010124640248276	5.257860486870668
0.07947285962157169	(3.8735329992472742+5.16310035793374j)	6.454600158209113	3.8735329992472742	5.16310035793374
