ome	zstar	zpr	zppr	zC
271.2664412894652	286.0010507750759	284.2521635046183	31.580192960007388	(284.2521635046183+31.580192960007388j)
244.1398799442142	283.4131207743274	281.911433657567	29.136585252543004	(281.911433657567+29.136585252543004j)
221.9454069785186	281.2544804902099	279.93961714426536	27.164196084920516	(279.93961714426536+27.164196084920516j)
203.45000343321894	279.4246316794937	278.2531439990235	25.559981296538652	(278.2531439990235+25.559981296538652j)
187.80003990750862	277.85030574999666	276.79074599402253	24.242015952456104	(276.79074599402253+24.242015952456104j)
174.38578058345135	276.4769158370932	275.5065085340549	23.144086634945303	(275.5065085340549+23.144086634945303j)
162.76008553042507	275.26334614455976	274.36558918388704	22.213356398307745	(274.36558918388704+22.213356398307745j)
152.58759958725065	274.1791278920428	273.3418280868262	21.411193095974703	(273.3418280868262+21.411193095974703j)
135.63345059975427	272.3083083354715	271.567735487263	20.06937544733731	(271.567735487263+20.06937544733731j)
122.07012623576937	270.7329039582627	270.06905369066556	18.947599433761635	(270.06905369066556+18.947599433761635j)
110.97285742623434	269.3755746787072	268.77611125816674	17.961131657591853	(268.77611125816674+17.961131657591853j)
101.72513106647364	268.18605446223114	267.64284605363264	17.060678894179148	(267.64284605363264+17.060678894179148j)
93.90013016905552	267.1312451790429	266.63823096959214	16.222081750266707	(266.63823096959214+16.222081750266707j)
87.19298532433072	266.18775360972853	265.740018162629	15.432527943248685	(265.740018162629+15.432527943248685j)
81.38012554918876	265.33837973459526	264.9316731533664	14.685513962341464	(264.9316731533664+14.685513962341464j)
76.2938725529933	264.56969791835263	264.2002573164172	13.976733901284415	(264.2002573164172+13.976733901284415j)
67.81678278877874	263.23449223176203	262.9295685913076	12.666485736085528	(262.9295685913076+12.666485736085528j)
61.03510968390684	262.1184636463746	261.8665419567393	11.489264030175855	(261.8665419567393+11.489264030175855j)
55.486467197441	261.1759832263415	260.96753789970387	10.43256329062186	(260.96753789970387+10.43256329062186j)
50.86259787076453	260.3740359363183	260.201122925192	9.487582317761106	(260.201122925192+9.487582317761106j)
46.95009263840157	259.68755947666335	259.5435885487565	8.64605055382964	(259.5435885487565+8.64605055382964j)
43.596516420355464	259.0971906666566	258.97670556750114	7.900644578616324	(258.97670556750114+7.900644578616324j)
40.69008347062001	258.5872856141106	258.4858182944718	7.24334328269139	(258.4858182944718+7.24334328269139j)
38.14695446636467	258.14609629648965	258.0599171640116	6.669796580105221	(258.0599171640116+6.669796580105221j)
33.90840576663305	257.4286607919278	257.3646600697246	5.739960306529389	(257.3646600697246+5.739960306529389j)
30.51756648347228	256.87876214043536	256.82913087216434	5.049353844902176	(256.82913087216434+5.049353844902176j)
27.743243219811465	256.4522898022671	256.4118446129492	4.554435970653173	(256.4118446129492+4.554435970653173j)
25.431307019771904	256.1155802830893	256.0809685615476	4.210463670813916	(256.0809685615476+4.210463670813916j)
23.475053207675302	255.84435488969856	255.8133775335891	3.981181204548723	(255.8133775335891+3.981181204548723j)
21.798264149730112	255.62081751846281	255.59201842332214	3.8369867212980404	(255.59201842332214+3.8369867212980404j)
20.34504690932036	255.43192815348087	255.4043375192955	3.754237144187126	(255.4043375192955+3.754237144187126j)
19.07348178065259	255.26874869900826	255.24169104237546	3.716613537344699	(255.24169104237546+3.716613537344699j)
16.954206476379728	254.99314652139765	254.9659834531837	3.7218348477370906	(254.9659834531837+3.7218348477370906j)
15.258786152117517	254.7588356344321	254.73081074571053	3.7786757792369974	(254.73081074571053+3.7786757792369974j)
13.871624015179727	254.54961737663993	254.52042546013203	3.8549617620875933	(254.52042546013203+3.8549617620875933j)
12.715655530984325	254.3563453821336	254.32595392284412	3.931869452386585	(254.32595392284412+3.931869452386585j)
11.737528325957038	254.17454449966868	254.14304145142555	4.001693820503377	(254.14304145142555+4.001693820503377j)
10.899133559753759	254.00186175144154	253.96938537243034	4.0616581279548365	(253.96938537243034+4.0616581279548365j)
10.172524748163262	253.83703891100132	253.80373849596336	4.111526307570289	(253.80373849596336+4.111526307570289j)
9.536742027194265	253.67917656700737	253.6452032983584	4.151562049317995	(253.6452032983584+4.151562049317995j)
8.477104136455951	253.38264979912634	253.34771130696268	4.20765905826458	(253.34771130696268+4.20765905826458j)
7.629393803654312	253.10957426310358	253.07405402924783	4.240254809665135	(253.07405402924783+4.240254809665135j)
6.935812608908517	252.85727323138883	252.82145498396702	4.255881319206095	(252.82145498396702+4.255881319206095j)
6.357828270766876	252.62373165880388	252.58780198044664	4.260526716971138	(252.58780198044664+4.260526716971138j)
5.86876459350846	252.40700436131053	252.37108370785072	4.2581637798042795	(252.37108370785072+4.2581637798042795j)
5.44956715109913	252.2053499651939	252.16951132975151	4.251600496313623	(252.16951132975151+4.251600496313623j)
5.086262697457463	252.01723983930952	251.9815206862229	4.242924567169912	(251.9815206862229+4.242924567169912j)
4.768371297814176	251.84124133206282	251.80565856378655	4.233338036591082	(251.80565856378655+4.233338036591082j)
4.238552292794533	251.52073951811187	251.48542757341687	4.2145137268222586	(251.48542757341687+4.2145137268222586j)
