t	msd
4.194304012499997	1.897907455728153e-17
4.613734412499998	1.9046652363312612e-17
5.033164812499997	1.9112409291770594e-17
5.452595212499997	1.9176392386072733e-17
5.872025612499996	1.923864735660909e-17
6.291456012499996	1.9299219312589016e-17
6.710886412499995	1.935815188588259e-17
7.549747212499995	1.947126823612805e-17
8.388608012499995	1.9578326445338996e-17
9.227468812499996	1.9679639830424796e-17
10.066329612499995	1.977550714940828e-17
10.905190412499994	1.9866212538453858e-17
11.744051212499993	1.9952026219284768e-17
12.582912012499992	2.003320476487998e-17
