sep=,

Average Count Rate ChA [kHz], Std. Count Rate ChA [kHz],Average Count Rate ChB [kHz], Std. Count Rate ChB [kHz]
6.917686062E+1,5.863149515E+1,6.338700715E+1,5.389018123E+1,

Count Trace ChA [kHz],Count Trace ChB [kHz]
1.642227173E+2,1.468658447E+2
1.295280457E+2,1.186370850E+2
1.103401184E+2,1.039123535E+2
7.848739624E+1,7.419586182E+1
5.825042725E+1,5.329132080E+1
6.149291992E+1,5.649566650E+1
6.359100342E+1,6.000518799E+1
3.057479858E+1,2.647399902E+1
3.429412842E+1,3.093719482E+1
2.964019775E+1,2.613067627E+1
2.534866333E+1,2.231597900E+1
2.609252930E+1,2.441406250E+1
2.550125122E+1,2.334594727E+1
2.336502075E+1,2.073287964E+1
2.162933350E+1,1.934051514E+1
2.559661865E+1,2.384185791E+1
2.676010132E+1,2.456665039E+1
2.454757690E+1,2.323150635E+1
2.044677734E+1,1.865386963E+1
2.092361450E+1,1.823425293E+1
2.269744873E+1,2.120971680E+1
2.286911011E+1,2.130508423E+1
2.141952515E+1,2.058029175E+1
2.275466919E+1,2.065658569E+1
3.055572510E+1,2.561569214E+1
2.794265747E+1,2.508163452E+1
4.262924194E+1,3.822326660E+1
4.144668579E+1,3.839492798E+1
4.787445068E+1,4.419326782E+1
5.146026611E+1,4.768371582E+1
5.636215210E+1,5.214691162E+1
6.769180298E+1,6.092071533E+1
7.202148437E+1,6.378173828E+1
1.022720337E+2,9.311676025E+1
1.041793823E+2,9.437561035E+1
1.064491272E+2,9.780883789E+1
1.194572449E+2,1.096343994E+2
1.048088074E+2,9.546279907E+1
9.319305420E+1,8.411407471E+1
7.368087769E+1,6.719589233E+1
4.695892334E+1,4.423141479E+1
3.688812256E+1,3.341674805E+1
2.096176147E+1,1.895904541E+1
1.859664917E+1,1.781463623E+1
1.668930054E+1,1.550674438E+1
1.865386963E+1,1.678466797E+1
2.531051636E+1,2.277374268E+1
3.175735474E+1,2.695083618E+1
3.467559814E+1,3.093719482E+1
3.892898560E+1,3.332138062E+1
4.577636719E+1,4.030227661E+1
4.566192627E+1,4.011154175E+1
4.371643066E+1,3.950119019E+1
3.398895264E+1,3.244400024E+1
2.386093140E+1,2.210617065E+1
2.067565918E+1,2.000808716E+1
2.784729004E+1,2.515792847E+1
3.087997437E+1,2.956390381E+1
4.640579224E+1,4.095077515E+1
4.108428955E+1,3.438949585E+1
4.159927368E+1,3.915786743E+1
4.024505615E+1,3.616333008E+1
2.859115601E+1,2.674102783E+1
3.248214722E+1,2.870559692E+1
2.418518066E+1,2.166748047E+1
1.892089844E+1,1.750946045E+1
2.418518066E+1,2.408981323E+1
3.152847290E+1,2.786636353E+1
4.171371460E+1,3.929138184E+1
4.606246948E+1,4.388809204E+1
6.151199341E+1,5.569458008E+1
5.981445312E+1,5.712509155E+1
5.086898804E+1,4.762649536E+1
5.239486694E+1,4.699707031E+1
6.015777588E+1,5.409240723E+1
5.304336548E+1,4.810333252E+1
6.149291992E+1,5.622863770E+1
7.116317749E+1,6.546020508E+1
7.919311523E+1,7.261276245E+1
9.069442749E+1,8.316040039E+1
1.069450378E+2,9.765625000E+1
7.772445679E+1,7.137298584E+1
5.125045776E+1,4.837036133E+1
3.877639771E+1,3.690719604E+1
2.607345581E+1,2.395629883E+1
4.442214966E+1,4.020690918E+1
7.492065430E+1,6.828308105E+1
6.961822510E+1,6.095886230E+1
5.283355713E+1,4.798889160E+1
3.139495850E+1,2.950668335E+1
1.588821411E+1,1.377105713E+1
1.047134399E+1,1.018524170E+1
1.081466675E+1,8.583068848E+0
1.096725464E+1,1.052856445E+1
1.565933228E+1,1.462936401E+1
1.487731934E+1,1.298904419E+1
2.124786377E+1,1.939773560E+1
1.853942871E+1,1.914978027E+1
2.155303955E+1,1.815795898E+1
2.506256104E+1,2.235412598E+1
3.337860107E+1,3.177642822E+1
2.780914307E+1,2.647399902E+1
2.700805664E+1,2.593994141E+1
3.921508789E+1,3.545761108E+1
2.895355225E+1,2.645492554E+1
3.515243530E+1,3.261566162E+1
3.046035767E+1,2.965927124E+1
4.045486450E+1,3.749847412E+1
3.646850586E+1,3.236770630E+1
3.246307373E+1,2.904891968E+1
2.672195435E+1,2.449035645E+1
2.151489258E+1,1.880645752E+1
1.821517944E+1,1.609802246E+1
1.878738403E+1,1.697540283E+1
1.911163330E+1,1.756668091E+1
1.626968384E+1,1.350402832E+1
2.424240112E+1,2.052307129E+1
2.115249634E+1,2.183914185E+1
1.846313477E+1,1.768112183E+1
2.080917358E+1,1.983642578E+1
2.416610718E+1,2.296447754E+1
2.702713013E+1,2.454757690E+1
2.510070801E+1,2.210617065E+1
2.643585205E+1,2.511978149E+1
2.786636353E+1,2.317428589E+1
2.462387085E+1,2.096176147E+1
2.220153809E+1,2.052307129E+1
1.909255981E+1,1.813888550E+1
1.514434814E+1,1.314163208E+1
1.754760742E+1,1.655578613E+1
2.042770386E+1,1.977920532E+1
3.137588501E+1,2.788543701E+1
3.141403198E+1,2.960205078E+1
4.383087158E+1,3.736495972E+1
5.125045776E+1,4.657745361E+1
5.947113037E+1,5.376815796E+1
6.832122803E+1,6.238937378E+1
6.406784058E+1,5.979537964E+1
5.794525146E+1,5.220413208E+1
4.695892334E+1,4.209518433E+1
4.997253418E+1,4.558563232E+1
2.969741821E+1,2.773284912E+1
2.410888672E+1,2.099990845E+1
1.739501953E+1,1.585006714E+1
1.625061035E+1,1.502990723E+1
2.294540405E+1,2.012252808E+1
2.975463867E+1,2.700805664E+1
2.826690674E+1,2.580642700E+1
3.633499146E+1,3.120422363E+1
4.182815552E+1,3.894805908E+1
4.112243652E+1,3.812789917E+1
3.801345825E+1,3.520965576E+1
3.517150879E+1,3.131866455E+1
3.326416016E+1,2.964019775E+1
2.889633179E+1,2.517700195E+1
2.824783325E+1,2.450942993E+1
2.990722656E+1,2.637863159E+1
3.000259399E+1,2.660751343E+1
3.026962280E+1,2.754211426E+1
2.498626709E+1,2.351760864E+1
2.626419067E+1,2.410888672E+1
3.679275513E+1,3.314971924E+1
3.059387207E+1,2.727508545E+1
3.095626831E+1,2.708435059E+1
2.681732178E+1,2.447128296E+1
2.674102783E+1,2.456665039E+1
2.128601074E+1,1.832962036E+1
1.766204834E+1,1.689910889E+1
1.705169678E+1,1.518249512E+1
1.714706421E+1,1.605987549E+1
1.596450806E+1,1.459121704E+1
1.432418823E+1,1.411437988E+1
1.686096191E+1,1.655578613E+1
2.273559570E+1,2.172470093E+1
2.454757690E+1,2.191543579E+1
2.346038818E+1,2.157211304E+1
3.129959106E+1,2.733230591E+1
3.011703491E+1,2.902984619E+1
3.702163696E+1,3.145217896E+1
5.451202393E+1,4.911422729E+1
6.277084351E+1,5.836486816E+1
7.308959961E+1,6.626129150E+1
8.079528809E+1,7.308959961E+1
6.814956665E+1,6.208419800E+1
7.209777832E+1,6.723403931E+1
6.919860840E+1,6.227493286E+1
8.672714233E+1,7.877349854E+1
9.298324585E+1,8.497238159E+1
8.392333984E+1,7.461547852E+1
8.560180664E+1,7.753372192E+1
8.337020874E+1,7.608413696E+1
8.577346802E+1,7.816314697E+1
7.572174072E+1,6.767272949E+1
6.605148315E+1,5.729675293E+1
6.338119507E+1,5.668640137E+1
7.596969604E+1,6.868362427E+1
8.592605591E+1,7.888793945E+1
6.862640381E+1,6.290435791E+1
6.753921509E+1,6.135940552E+1
4.373550415E+1,3.808975220E+1
4.587173462E+1,4.369735718E+1
5.178451538E+1,4.610061646E+1
5.022048950E+1,4.766464233E+1
6.120681763E+1,5.598068237E+1
1.074981689E+2,1.012039185E+2
1.248359680E+2,1.178932190E+2
1.152229309E+2,1.046180725E+2
1.110458374E+2,9.963989258E+1
1.163482666E+2,1.054000854E+2
1.164436340E+2,1.095771790E+2
1.120567322E+2,1.033020020E+2
1.083374023E+2,9.847640991E+1
5.937576294E+1,5.294799805E+1
4.371643066E+1,3.988265991E+1
3.210067749E+1,2.765655518E+1
3.341674805E+1,2.870559692E+1
3.343582153E+1,3.076553345E+1
2.588272095E+1,2.416610718E+1
3.002166748E+1,2.727508545E+1
3.133773804E+1,2.717971802E+1
3.982543945E+1,3.883361816E+1
5.512237549E+1,4.983901978E+1
4.842758179E+1,4.579544067E+1
4.795074463E+1,4.249572754E+1
4.714965820E+1,4.383087158E+1
5.186080933E+1,4.800796509E+1
5.119323730E+1,4.840850830E+1
4.934310913E+1,4.468917847E+1
4.032135010E+1,3.442764282E+1
4.367828369E+1,3.988265991E+1
4.079818726E+1,3.759384155E+1
2.780914307E+1,2.632141113E+1
2.882003784E+1,2.796173096E+1
3.429412842E+1,3.246307373E+1
2.834320068E+1,2.696990967E+1
2.466201782E+1,2.286911011E+1
2.000808716E+1,1.892089844E+1
1.876831055E+1,1.657485962E+1
1.960754395E+1,1.758575439E+1
1.628875732E+1,1.468658447E+1
2.132415771E+1,1.911163330E+1
2.279281616E+1,2.161026001E+1
2.271652222E+1,2.151489258E+1
2.218246460E+1,1.930236816E+1
2.107620239E+1,1.970291138E+1
2.429962158E+1,2.325057983E+1
2.458572388E+1,2.212524414E+1
2.258300781E+1,2.069473267E+1
2.252578735E+1,2.119064331E+1
2.246856689E+1,2.138137817E+1
2.374649048E+1,2.073287964E+1
2.088546753E+1,1.968383789E+1
2.420425415E+1,2.143859863E+1
2.321243286E+1,2.174377441E+1
2.536773682E+1,2.204895020E+1
2.584457397E+1,2.382278442E+1
2.750396729E+1,2.473831177E+1
2.552032471E+1,2.201080322E+1
2.546310425E+1,2.338409424E+1
2.365112305E+1,2.344131470E+1
2.517700195E+1,2.298355103E+1
2.601623535E+1,2.344131470E+1
2.492904663E+1,2.178192139E+1
2.088546753E+1,1.762390137E+1
2.111434937E+1,1.993179321E+1
2.473831177E+1,2.344131470E+1
2.283096313E+1,2.042770386E+1
2.023696899E+1,1.733779907E+1
2.460479736E+1,2.254486084E+1
1.848220825E+1,1.546859741E+1
1.960754395E+1,1.871109009E+1
2.216339111E+1,1.838684082E+1
1.449584961E+1,1.268386841E+1
2.080917358E+1,1.842498779E+1
2.222061157E+1,1.935958862E+1
2.231597900E+1,2.111434937E+1
2.124786377E+1,1.773834229E+1
2.378463745E+1,2.300262451E+1
1.752853394E+1,1.548767090E+1
2.109527588E+1,1.848220825E+1
1.892089844E+1,1.689910889E+1
1.762390137E+1,1.604080200E+1
1.581192017E+1,1.502990723E+1
